team_id,name,nationality,pres_img
1,Josh Kroenke,American,static\coaches\Josh_Kroenke.jpg
2,Nassef Sawiris,Egyptian,static\coaches\Nassef_Sawiris.jpg
3,Bill Foley,American,static\coaches\Bill_Foley.jpg
4,Cliff Crown,British,static\coaches\Cliff_Crown.jpg
5,Tony Bloom,British,static\coaches\Tony_Bloom.jpg
6,Todd Boehly,American,static\coaches\Todd_Boehly.jpg
7,Steve Parish,British,static\coaches\Steve_Parish.jpg
8,Farhad Moshiri,Iranian-British,static\coaches\Farhad_Moshiri.jpg
9,Shahid Khan,Pakistani-American,static\coaches\Shahid_Khan.jpg
10,John W. Henry,American,static\coaches\Mike_Gordon.jpg
11,Khaldoon Al Mubarak,Emirati,static\coaches\Khaldoon_Al_Mubarak.jpg
12,Joel and Avram Glazer,American,static\coaches\Joel_and_Avram_Glazer.jpg
13,Yasir Al-Rumayyan,Saudi,static\coaches\Yasir_Al_Rumayyan.jpg
14,Nicholas Randall KC,British,static\coaches\Nicholas_Randall_KC.jpg
15,Daniel Levy,British,static\coaches\Daniel_Levy.jpg
16,David Sullivan,British,static\coaches\David_Sullivan.jpg
17,Guo Guangchang,Chinese,static\coaches\Guo_Guangchang.jpg
18,Aiyawatt Srivaddhanaprabha,Thai,static\coaches\Aiyawatt_Srivaddhanaprabha.jpg
19,Brett Johnson,American,static\coaches\Brett_Johnson.jpg
20,Dragan Šolak,Serbian,static\coaches\Dragan_Šolak.jpg
